Ticker,Company Name,CIK,Sector,Industry
CRNZF,CAIRN ENERGY PLC,0000909531,Energy,Oil & Gas E&P
VTDRF,VANTAGE DRILLING INTERNATIONAL,0001465872,Energy,Oil & Gas Drilling
ALPSQ,"ALPINE SUMMIT ENERGY PARTNERS, INC.",0001882607,Energy,Oil & Gas E&P
CJAX,CoJax Oil & Gas Corp,0001763925,Energy,Oil & Gas E&P
PQEFF,PETROTEQ ENERGY INC.,0001561180,Energy,Oil & Gas E&P
BRLL,Barrel Energy Inc.,0001631463,Energy,Oil & Gas E&P
SDTTU,SandRidge Mississippian Trust I,0001509228,Energy,Oil & Gas E&P
MRGE,Mirage Energy Corp,0001623360,Energy,Oil & Gas Midstream
MSCH,"MainStreetChamber Holdings, Inc.",0001413659,Energy,Oil & Gas E&P
FTXP,"FOOTHILLS EXPLORATION, INC.",0001503458,Energy,Oil & Gas E&P
BBLS,Petrolia Energy Corp,0001368637,Energy,Oil & Gas E&P
OKMN,"OKMIN RESOURCES, INC.",0001848334,Energy,Oil & Gas E&P
